Issue Number; Title; Github URL; Labels; State; Created At; Updated At; Reporter; Assignee
804; "add buy link on publication dialog"; https://github.com/edrlab/thorium-reader/pull/804; ""; closed; 10/18/2019; 11/15/2019; Scarsniik; 
803; "Fixes #784 : no exception anymore when there is no search link"; https://github.com/edrlab/thorium-reader/pull/803; ""; closed; 10/18/2019; 10/18/2019; Scarsniik; 
802; "Fixes #796 : add a title on edit and remove bookmark button"; https://github.com/edrlab/thorium-reader/pull/802; ""; closed; 10/18/2019; 10/18/2019; Scarsniik; 
801; "don't show pagination if the is no information"; https://github.com/edrlab/thorium-reader/pull/801; ""; closed; 10/18/2019; 10/18/2019; Scarsniik; 
800; "Fixes #773 : focus button of card when close export or delete dialog"; https://github.com/edrlab/thorium-reader/pull/800; ""; closed; 10/18/2019; 11/15/2019; Scarsniik; 
799; "[PARKED] (DO NOT MERGE) Fixes #577 : Add high contrast display"; https://github.com/edrlab/thorium-reader/pull/799; ""; open; 10/18/2019; 04/28/2021; Scarsniik; 
798; "Fix #779 : filter list on catalog to remove duplicate"; https://github.com/edrlab/thorium-reader/pull/798; ""; closed; 10/18/2019; 10/18/2019; Scarsniik; 
797; "[fix #791]fix aligment i18n"; https://github.com/edrlab/thorium-reader/pull/797; ""; closed; 10/15/2019; 10/18/2019; panaC; panaC
796; "Unlabeled buttons in Navigation / Bookmarks"; https://github.com/edrlab/thorium-reader/issues/796; ""; closed; 10/14/2019; 10/18/2019; ways2read; Scarsniik
795; "WIP - Work In Progress (DO NOT MERGE): LCP and LSD"; https://github.com/edrlab/thorium-reader/pull/795; ""; closed; 10/14/2019; 11/12/2019; danielweck; 
794; "typing decorator @inject"; https://github.com/edrlab/thorium-reader/issues/794; ""; closed; 10/14/2019; 03/18/2020; panaC; panaC
793; "[fix #700][fix #790] open file in bookshelf without re-import it"; https://github.com/edrlab/thorium-reader/pull/793; ""; closed; 10/14/2019; 10/21/2019; panaC; panaC
792; "Electron v6"; https://github.com/edrlab/thorium-reader/pull/792; ""; closed; 10/13/2019; 10/13/2019; danielweck; 
791; "Missing translations"; https://github.com/edrlab/thorium-reader/issues/791; ""; closed; 10/13/2019; 10/18/2019; ways2read; panaC
790; "no error message in frontend when epub import has failed, only on import with cli (open with)"; https://github.com/edrlab/thorium-reader/issues/790; "bug"; closed; 10/11/2019; 10/21/2019; panaC; 
789; "create a new unique identifier per book with hash of the epub file"; https://github.com/edrlab/thorium-reader/issues/789; ""; closed; 10/11/2019; 10/11/2019; panaC; 
788; "OPDS pagination NaN"; https://github.com/edrlab/thorium-reader/issues/788; ""; closed; 10/11/2019; 10/18/2019; danielweck; Scarsniik
787; "LCP-protected EPUB deleted on closing the application in windows"; https://github.com/edrlab/thorium-reader/issues/787; ""; closed; 10/11/2019; 12/12/2019; ronghester; 
786; "OPDS, feature suggestion: full image display when click on thumbnail (inside the 'about publication' popup modal dialog box. "; https://github.com/edrlab/thorium-reader/issues/786; ""; closed; 10/11/2019; 10/28/2019; danielweck; 
785; "OPDS link titles (used in feed browser for subsection labels, and breadcrumb) are truncated"; https://github.com/edrlab/thorium-reader/issues/785; ""; closed; 10/11/2019; 10/23/2019; danielweck; panaC
784; "When OPDS feed does not have search link, exception in console (but app does not crash)"; https://github.com/edrlab/thorium-reader/issues/784; ""; closed; 10/11/2019; 10/18/2019; danielweck; Scarsniik
